,ts_code,open,high,low,close,pre_close,vol,amount,turn,paused,pct_chg,isST
2024-08-14,sh.600519,1423.0100000000,1424.9000000000,1412.0200000000,1413.3000000000,1423.0100000000,1341431,1898377426.4600,0.106800,0,-0.682400,0
2024-08-13,sh.600519,1433.0000000000,1435.0000000000,1412.0100000000,1423.0100000000,1436.1000000000,1630843,2317037755.6400,0.129800,0,-0.911500,0
2024-08-12,sh.600519,1430.0000000000,1443.0000000000,1426.5800000000,1436.1000000000,1436.8000000000,1363203,1956573437.9100,0.108500,0,-0.048700,0
2024-08-09,sh.600519,1460.0300000000,1469.0000000000,1436.8000000000,1436.8000000000,1430.6900000000,3013849,4368705515.2800,0.239900,0,0.427100,0
2024-08-08,sh.600519,1411.0000000000,1448.1800000000,1409.0000000000,1430.6900000000,1415.5000000000,2513082,3592705429.8200,0.200100,0,1.073100,0
2024-08-07,sh.600519,1405.5000000000,1421.9900000000,1398.3000000000,1415.5000000000,1404.7000000000,2062221,2910580747.0400,0.164200,0,0.768800,0
2024-08-06,sh.600519,1422.0000000000,1424.0000000000,1394.0100000000,1404.7000000000,1410.0100000000,2744433,3860735014.1700,0.218500,0,-0.376600,0
2024-08-05,sh.600519,1388.8800000000,1426.0000000000,1385.5200000000,1410.0100000000,1385.4500000000,3773607,5327127146.6100,0.300400,0,1.772700,0
2024-08-02,sh.600519,1373.6000000000,1396.9700000000,1373.6000000000,1385.4500000000,1386.1600000000,2192769,3041726371.6400,0.174600,0,-0.051200,0
2024-08-01,sh.600519,1418.0000000000,1420.0000000000,1384.7000000000,1386.1600000000,1421.2800000000,3203810,4470988088.0300,0.255000,0,-2.471000,0
2024-07-31,sh.600519,1373.1000000000,1427.2700000000,1373.1000000000,1421.2800000000,1379.9900000000,4327232,6098149721.2500,0.344500,0,2.992100,0
2024-07-30,sh.600519,1385.9800000000,1390.2700000000,1361.3000000000,1379.9900000000,1398.0200000000,5177904,7103491565.7900,0.412200,0,-1.289700,0
2024-07-29,sh.600519,1415.0000000000,1421.9900000000,1398.0000000000,1398.0200000000,1422.1900000000,3086907,4342610099.9700,0.245700,0,-1.699500,0
2024-07-26,sh.600519,1430.4900000000,1437.7200000000,1410.9000000000,1422.1900000000,1430.4900000000,3235379,4594928574.1000,0.257600,0,-0.580200,0
2024-07-25,sh.600519,1440.0200000000,1448.0000000000,1420.0100000000,1430.4900000000,1440.0200000000,2834656,4054086714.0500,0.225700,0,-0.661800,0
2024-07-24,sh.600519,1450.2000000000,1463.7000000000,1435.0000000000,1440.0200000000,1455.0000000000,2412255,3490200972.8000,0.192000,0,-1.029600,0
2024-07-23,sh.600519,1499.0000000000,1501.0000000000,1455.0000000000,1455.0000000000,1499.0000000000,3094396,4555460197.6300,0.246300,0,-2.935300,0
2024-07-22,sh.600519,1525.0300000000,1529.9800000000,1491.6500000000,1499.0000000000,1525.6200000000,2854321,4300813309.9700,0.227200,0,-1.744900,0
2024-07-19,sh.600519,1490.8100000000,1529.1800000000,1484.0100000000,1525.6200000000,1497.5100000000,3894291,5888615144.7900,0.310000,0,1.877100,0
2024-07-18,sh.600519,1499.5000000000,1515.0000000000,1492.5300000000,1497.5100000000,1501.4000000000,2887039,4337214600.9400,0.229800,0,-0.259100,0
2024-07-17,sh.600519,1476.1000000000,1503.0000000000,1470.0200000000,1501.4000000000,1476.0000000000,3431101,5115680654.1900,0.273100,0,1.720900,0
2024-07-16,sh.600519,1476.0000000000,1482.0000000000,1465.0500000000,1476.0000000000,1474.9000000000,2031644,2998367128.3300,0.161700,0,0.074600,0
2024-07-15,sh.600519,1470.0000000000,1488.0000000000,1470.0000000000,1474.9000000000,1478.8200000000,1917626,2835374730.1200,0.152700,0,-0.265100,0
2024-07-12,sh.600519,1473.0100000000,1486.4000000000,1465.4500000000,1478.8200000000,1462.0900000000,2338634,3451132647.9900,0.186200,0,1.144300,0
2024-07-11,sh.600519,1449.9700000000,1469.0000000000,1440.2100000000,1462.0900000000,1437.5900000000,2902014,4236960596.1700,0.231000,0,1.704200,0
2024-07-10,sh.600519,1439.2500000000,1465.8800000000,1435.0000000000,1437.5900000000,1438.0300000000,2376322,3436693365.4500,0.189200,0,-0.030600,0
2024-07-09,sh.600519,1420.0000000000,1454.8900000000,1410.1000000000,1438.0300000000,1420.0000000000,3362071,4807957927.3600,0.267600,0,1.269700,0
2024-07-08,sh.600519,1443.0000000000,1457.7700000000,1419.1400000000,1420.0000000000,1453.0000000000,3952705,5657951348.4100,0.314700,0,-2.271200,0
2024-07-05,sh.600519,1479.0000000000,1493.1800000000,1450.0000000000,1453.0000000000,1485.7400000000,3882938,5664477336.4700,0.309100,0,-2.203600,0
2024-07-04,sh.600519,1505.0000000000,1512.0000000000,1481.1300000000,1485.7400000000,1500.0000000000,2437973,3637968895.2400,0.194100,0,-0.950700,0
2024-07-03,sh.600519,1499.0000000000,1513.0100000000,1488.0200000000,1500.0000000000,1490.7000000000,3157326,4740808130.0800,0.251300,0,0.623900,0
2024-07-02,sh.600519,1433.0000000000,1498.0000000000,1433.0000000000,1490.7000000000,1440.3800000000,5185298,7659166816.2300,0.412800,0,3.493500,0
2024-07-01,sh.600519,1468.8800000000,1472.9900000000,1428.0000000000,1440.3800000000,1467.3900000000,3216138,4636689118.2000,0.256000,0,-1.840700,0
2024-06-28,sh.600519,1480.0000000000,1494.4900000000,1464.0000000000,1467.3900000000,1490.4900000000,3858202,5699649046.8600,0.307100,0,-1.549800,0
2024-06-27,sh.600519,1492.0000000000,1493.9700000000,1468.0000000000,1490.4900000000,1489.2200000000,3282178,4857959457.2400,0.261300,0,0.085300,0
2024-06-26,sh.600519,1480.0000000000,1501.0700000000,1477.8000000000,1489.2200000000,1486.6500000000,2956977,4414601922.2500,0.235400,0,0.172900,0
2024-06-25,sh.600519,1477.0000000000,1502.9900000000,1477.0000000000,1486.6500000000,1476.5500000000,4209795,6273919386.3000,0.335100,0,0.684000,0
2024-06-24,sh.600519,1423.0000000000,1488.9900000000,1414.0100000000,1476.5500000000,1471.0000000000,6383993,9319362390.1300,0.508200,0,0.377300,0
2024-06-21,sh.600519,1500.5000000000,1504.9800000000,1470.2200000000,1471.0000000000,1500.1000000000,4331997,6418543742.2100,0.344800,0,-1.939900,0
2024-06-20,sh.600519,1500.0000000000,1516.0100000000,1498.0000000000,1500.1000000000,1501.0000000000,2471068,3715924984.0700,0.196700,0,-0.060000,0
2024-06-19,sh.600519,1497.9900000000,1504.0000000000,1482.1000000000,1501.0000000000,1490.6200000000,4126153,6167728415.7500,0.328500,0,0.696400,0
2024-06-18,sh.600519,1499.8190565600,1522.9890561600,1485.8974627200,1490.6196360000,1510.2137160000,4125825,6317590942.7100,0.328400,0,-1.297400,0
2024-06-17,sh.600519,1501.1906421600,1517.3361640800,1480.3425410400,1510.2137160000,1523.4397200000,4831816,7400883242.8700,0.384600,0,-0.868200,0
2024-06-14,sh.600519,1523.4397200000,1532.2178678400,1489.6007438400,1523.4397200000,1523.4495170400,5951416,9177637168.0600,0.473800,0,-0.000600,0
2024-06-13,sh.600519,1544.7678760800,1544.8854405600,1521.6272676000,1523.4495170400,1539.7811827200,3618597,5654938942.0600,0.288100,0,-1.060600,0
2024-06-12,sh.600519,1538.1352800000,1557.7293600000,1538.1352800000,1539.7811827200,1537.1555760000,3317050,5230086503.4400,0.264100,0,0.170800,0
2024-06-11,sh.600519,1570.4557149600,1572.4249200000,1535.1961680000,1537.1555760000,1586.3171227200,7024676,11090577610.0600,0.559200,0,-3.099100,0
2024-06-07,sh.600519,1612.7201455200,1612.7691307200,1586.1505730400,1586.3171227200,1606.5284162400,3352455,5453120695.4600,0.266900,0,-1.258100,0
2024-06-06,sh.600519,1610.3002766400,1618.4612109600,1602.7075706400,1606.5284162400,1610.6333760000,2561005,4205700983.2300,0.203900,0,-0.254900,0
2024-06-05,sh.600519,1618.4710080000,1625.0154307200,1609.6830631200,1610.6333760000,1619.6466528000,1905557,3140824328.0400,0.151700,0,-0.556500,0
2024-06-04,sh.600519,1607.2044120000,1622.3898240000,1603.3345812000,1619.6466528000,1606.1169405600,2084108,3432497302.9800,0.165900,0,0.842400,0
2024-06-03,sh.600519,1616.5116000000,1617.4129276800,1601.9238074400,1606.1169405600,1614.9930588000,3026105,4966041477.4400,0.240900,0,-0.549600,0
2024-05-31,sh.600519,1617.0014520000,1629.7376040000,1614.9930588000,1614.9930588000,1615.5318960000,2185665,3617654788.0200,0.174000,0,-0.033400,0
2024-05-30,sh.600519,1641.0042000000,1641.3764875200,1615.5318960000,1615.5318960000,1640.0244960000,3220792,5333306808.3600,0.256400,0,-1.493400,0
2024-05-29,sh.600519,1632.1868640000,1645.9027200000,1631.2071600000,1640.0244960000,1630.8544665600,1965128,3289173344.7000,0.156400,0,0.562300,0
2024-05-28,sh.600519,1636.4975616000,1641.1707496800,1629.2477520000,1630.8544665600,1636.2232444800,2352087,3923020375.1400,0.187200,0,-0.328100,0
2024-05-27,sh.600519,1643.9433120000,1653.2015148000,1634.1560690400,1636.2232444800,1643.0419843200,2509791,4199001866.3400,0.199800,0,-0.415000,0
2024-05-24,sh.600519,1658.6388720000,1660.5982800000,1642.9636080000,1643.0419843200,1657.6689650400,2021663,3401323914.9500,0.160900,0,-0.882400,0
2024-05-23,sh.600519,1665.4968000000,1671.7473115200,1655.7781363200,1657.6689650400,1663.2532778400,1888497,3199923320.0800,0.150300,0,-0.335700,0
2024-05-22,sh.600519,1668.4359120000,1675.2546518400,1656.6794640000,1663.2532778400,1670.3953200000,2028568,3443977766.9600,0.161500,0,-0.427600,0
2024-05-21,sh.600519,1673.3344320000,1675.0293199200,1663.6941446400,1670.3953200000,1674.3141360000,1629339,2776847499.0000,0.129700,0,-0.234100,0
2024-05-20,sh.600519,1683.1216749600,1697.8172349600,1673.4421994400,1674.3141360000,1680.1923600000,3142572,5401389334.8700,0.250200,0,-0.349900,0
2024-05-17,sh.600519,1665.5065970400,1681.7402923200,1665.4968000000,1680.1923600000,1669.9054680000,2892388,4936920634.1700,0.230200,0,0.616000,0
2024-05-16,sh.600519,1670.3953200000,1675.1762755200,1655.6997600000,1669.9054680000,1665.4968000000,2967954,5048754768.5600,0.236300,0,0.264700,0
2024-05-15,sh.600519,1668.0244363200,1673.3344320000,1664.1154173600,1665.4968000000,1667.4366139200,1573876,2677203002.2700,0.125300,0,-0.116300,0
2024-05-14,sh.600519,1671.3652269600,1678.4974720800,1665.5065970400,1667.4366139200,1671.3750240000,2127417,3623282672.0700,0.169400,0,-0.235600,0
2024-05-13,sh.600519,1696.8669220800,1697.4939326400,1666.6920388800,1671.3750240000,1703.6856619200,3766212,6435415673.6000,0.299800,0,-1.896500,0
2024-05-10,sh.600519,1725.3567144000,1731.9991075200,1698.7969389600,1703.6856619200,1720.3602240000,2620661,4571398242.2500,0.208600,0,-0.969200,0
2024-05-09,sh.600519,1722.3196320000,1729.1579659200,1714.4820000000,1720.3602240000,1728.1684648800,2238734,3929804849.3600,0.178200,0,-0.451800,0
2024-05-08,sh.600519,1733.7723717600,1734.0466888800,1720.0369216800,1728.1684648800,1734.0760800000,1476909,2603293863.2300,0.117600,0,-0.340700,0
2024-05-07,sh.600519,1729.9515261600,1741.7177712000,1721.0264227200,1734.0760800000,1724.4749808000,2492452,4413196426.0200,0.198400,0,0.556800,0
2024-05-06,sh.600519,1698.7773448800,1729.1775600000,1691.9488080000,1724.4749808000,1670.3953200000,5990949,10504351711.5100,0.476900,0,3.237500,0
2024-04-30,sh.600519,1670.4051170400,1694.7703555200,1670.3953200000,1670.3953200000,1669.4156160000,3075989,5273902374.3400,0.244900,0,0.058700,0
2024-04-29,sh.600519,1662.5087028000,1692.9285120000,1659.4422292800,1669.4156160000,1674.7354087200,4133223,7072096590.1200,0.329000,0,-0.317600,0
2024-04-26,sh.600519,1659.6185760000,1679.2126560000,1659.5989819200,1674.7354087200,1658.6780601600,3099592,5290248521.3500,0.246700,0,0.968100,0
2024-04-25,sh.600519,1656.0230623200,1661.1861024000,1648.1070540000,1658.6780601600,1659.2266944000,1447648,2447183878.8400,0.115200,0,-0.033100,0
2024-04-24,sh.600519,1662.5380939200,1665.4086266400,1649.1651343200,1659.2266944000,1657.9334851200,1708643,2893555635.0000,0.136000,0,0.078000,0
2024-04-23,sh.600519,1641.0042000000,1660.5982800000,1641.0042000000,1657.9334851200,1641.0629822400,2497995,4217855278.9600,0.198900,0,1.028000,0
2024-04-22,sh.600519,1620.4304160000,1644.8054515200,1611.6130800000,1641.0629822400,1613.2197945600,2995139,5001684634.6500,0.238400,0,1.725900,0
2024-04-19,sh.600519,1627.0728091200,1634.6361240000,1607.9685811200,1613.2197945600,1636.8698491200,2349992,3879233241.8200,0.187100,0,-1.444800,0
2024-04-18,sh.600519,1625.3387330400,1648.8222379200,1624.5255787200,1636.8698491200,1633.1665680000,2656841,4445487745.1500,0.211500,0,0.226800,0
2024-04-17,sh.600519,1634.1462720000,1641.2001408000,1624.3492320000,1633.1665680000,1636.1056800000,2481911,4130322017.8100,0.197600,0,-0.179600,0
2024-04-16,sh.600519,1631.6872149600,1645.4716502400,1625.3289360000,1636.1056800000,1639.0251979200,2626623,4382796962.2600,0.209100,0,-0.178100,0
2024-04-15,sh.600519,1601.8258370400,1641.6018194400,1601.7964459200,1639.0251979200,1600.8657271200,3581771,5960815531.8000,0.285100,0,2.383700,0
2024-04-12,sh.600519,1617.4913040000,1630.2274560000,1600.8657271200,1600.8657271200,1614.5521920000,2674433,4403968129.4500,0.212900,0,-0.847700,0
2024-04-11,sh.600519,1606.8223274400,1616.5116000000,1601.5123317600,1614.5521920000,1614.5325979200,2276624,3736417594.6500,0.181200,0,0.001200,0
